scenario_id,point_id,split,x_m,y_m,synthetic_truth_spores_m2,synthetic_observed_spores_m2,reworked_pred_spores_m2,gaussian_pred_spores_m2
S1_steady_dry,P01,test,750.0,-5250.0,6.805600385379216e-40,1e-06,6.400780716492509e-21,4.373070105664757e-187
S1_steady_dry,P02,test,2527.777777777778,-5250.0,1.1926643001389123e-31,1e-06,2.534430544984848e-17,1.4442838835696412e-58
S1_steady_dry,P03,train,4305.555555555556,-5250.0,6.581637425817546e-26,1e-06,7.36398012375759e-15,7.400764870565123e-37
S1_steady_dry,P04,test,6083.333333333334,-5250.0,8.074362760890026e-22,1e-06,4.307085535479795e-13,5.3476443390616515e-27
S1_steady_dry,P05,test,7861.111111111111,-5250.0,8.284449358542761e-19,1e-06,9.842191670250319e-12,2.2636255217222787e-21
S1_steady_dry,P06,train,9638.888888888889,-5250.0,1.8110047292986893e-16,1e-06,1.380283348885523e-10,9.370779358122714e-18
S1_steady_dry,P07,test,11416.666666666668,-5250.0,1.516483733851445e-14,1e-06,1.5465520739620288e-09,3.044172540875776e-15
S1_steady_dry,P08,train,13194.444444444445,-5250.0,6.706209637162219e-13,1e-06,1.4216755243576474e-08,2.1153716104428804e-13
S1_steady_dry,P09,test,14972.222222222223,-5250.0,1.8156730897992534e-11,1e-06,1.0029676349090814e-07,5.392536246224927e-12
S1_steady_dry,P10,train,16750.0,-5250.0,3.1625447119987105e-10,1e-06,5.231182716708404e-07,6.910134238708806e-11
S1_steady_dry,P11,test,750.0,-3750.0,5.108086842003383e-27,1e-06,1.694186801577507e-14,4.99607508119753e-94
S1_steady_dry,P12,test,2527.777777777778,-3750.0,1.0160007449983965e-19,1e-06,2.4401135802877352e-11,2.0858851591446292e-30
S1_steady_dry,P13,train,4305.555555555556,-3750.0,2.629289887006335e-15,1e-06,1.9781102986879063e-09,3.275894338849792e-19
S1_steady_dry,P14,test,6083.333333333334,-3750.0,1.509746210220823e-12,1e-06,3.4993701382183545e-08,4.121702732292836e-14
S1_steady_dry,P15,train,7861.111111111111,-3750.0,1.0464582164912918e-10,1e-06,2.7269645843108055e-07,3.073560130787393e-11
S1_steady_dry,P16,test,9638.888888888889,-3750.0,2.3632491949582343e-09,1e-06,1.3934393666706016e-06,2.0789994964952306e-09
S1_steady_dry,P17,test,11416.666666666668,-3750.0,2.9687315985596332e-08,1e-06,5.967233422143847e-06,3.813438133527656e-08
